Table A1 reference,"Threats to ""Vehicle communication channels""",Ref,Mitigation
28.1,The presence of software bugs can be a basis for potential exploitable vulnerabilities. This is particularly true if software has not been tested to verify that known bad code/bugs is not present and reduce the risk of unknown bad code/bugs being present,M23,"Cybersecurity best practices for software and hardware development shall be followed. 
Cybersecurity testing with adequate coverage"
28.2,"Using remainders from development (e.g. debug ports, JTAG ports, microprocessors, development certificates, developer passwords, …) can permit an attacker to access ECUs or gain higher privileges",,
29.1,"Superfluous internet ports left open, providing access to network systems",,
29.2,"Circumvent network separation to gain control. Specific example is the use of unprotected gateways, or access points (such as truck-trailer gateways), to circumvent protections and gain access to other network segments to perform malicious acts, such as sending arbitrary CAN bus messages",M23,"Cybersecurity best practices for software and hardware development shall be followed. 
Cybersecurity best practices for system design and system integration shall be followed"
31.1,Information breach. Personal data may be breached when the car changes user (e.g. is sold or is used as hire vehicle with new hirers),M24,Best practices for the protection of data integrity and confidentiality shall be followed for storing personal data.
32.1,"Manipulation of OEM hardware, e.g. unauthorised hardware added to a vehicle to enable ""man-in-the-middle"" attack",M9,Measures to prevent and detect unauthorized access shall be employed
1.1 & 3.1,Abuse of privileges by staff (insider attack),M1,Security Controls are applied to back-end systems to minimise the risk of insider attack
1.2 & 3.3,"Unauthorised internet access to the server (enabled for example by backdoors, unpatched system software vulnerabilities, SQL attacks or other means)",M2,Security Controls are applied to back-end systems to minimise unauthorised access. Example Security Controls can be found in OWASP
1.3 & 3.4,Unauthorised physical access to the server (conducted by for example USB sticks or other media connecting to the server),M8,Through system design and access control it should not be possible for unauthorised personnel to access personal or system critical data
2.1,"Attack on back-end server stops it functioning, for example it prevents it from interacting with vehicles and providing services they rely on",M3,Security Controls are applied to back-end systems. Where back-end servers are critical to the provision of services there are recovery measures in case of system outage. Example Security Controls can be found in OWASP
3.2,Loss of information in the cloud. Sensitive data may be lost due to attacks or accidents when data is stored by third-party cloud service providers,M4,Security Controls are applied to minimise risks associated with cloud computing. Example Security Controls can be found in OWASP and NCSC cloud computing guidance
3.5,"Information breach by unintended sharing of data (e.g. admin errors, storing data in servers in garages)",M5,Security Controls are applied to back-end systems to prevent data breaches. Example Security Controls can be found in OWASP
15.1,"Innocent victim (e.g. owner, operator or maintenance engineer) is tricked into taking an action to unintentionally load malware or enable an attack",M18,"Measures shall be implemented for defining and controlling user roles and access privileges, based on the principle of least access privilege"
15.2,Defined security procedures are not followed,M19,Organizations shall ensure security procedures are defined and followed including logging of actions and access related to the management of the security functions
30.1,Damage caused by a third party. Sensitive data may be lost or compromised due to physical damages in cases of traffic accident or theft,M24,Best practices for the protection of data integrity and confidentiality shall be followed for storing personal data. Example Security Controls can be found in ISO/SC27/WG5
30.2,Loss from DRM (digital right management) conflicts. User data may be deleted due to DRM issues,,
30.3,"The (integrity of) sensitive data may be lost due to IT components wear and tear, causing potential cascading issues (in case of key alteration, for example)",,
